French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
croire,believe
disponible,available
Louis,Louis
d'or,Golden
veulent,want
Charleroi,Charleroi
Ne,Born
consommateurs,consumers
devises,currencies
difficultés,difficulties
sort,spell
national,national
machines,machinery
annoncé,announcement
choisi,selected
découvrir,discover
soutien,support
avez,have
perdre,lose
cuisine,food
telles,such as
D'autres,others
travaille,work
R,R
ouvert,open
phase,phase
certainement,certainly
télévision,television
pratiquement,practically
annuel,annual
bord,edge
paiement,payment
Bank,bank
institutions,institutions
seuls,alone
arrive,arrived
constate,notice
marques,brands
nationale,national
regard,glance
représentent,represent
Belges,Belgians
état,state
Qui,Who
libre,free
rachat,redemption
Toutefois,Nevertheless
portes,doors
sortir,to go out
commandes,orders
permettant,allowing
manager,manager
fiscal,tax
cinéma,movie theater
histoire,history
zone,area
sauf,except
avantages,benefits
l'information,information
voici,here is
dur,hard
effectivement,Effectively
puisse,may
réel,real
The,Tea
puissance,power
fixe,fixed
Belgium,belgium
contact,contact
époque,era
principaux,main
utilisé,used
étude,study
Leur,Their
sensible,sensitive
Bref,Brief
rencontre,encounter
L'entreprise,The company
spécialistes,specialists
brut,raw
mauvais,bad
néerlandais,Dutch
supplémentaire,additional
mots,words
reprises,occasions
nécessaires,required
Non,No
soir,evening
Prix,Price
machine,machine
penser,think
CD,CD
parts,shares
comprend,understand
fusion,merger
acquis,acquired
totale,total
voyage,journey
logique,logic
l'échéance,deadline
concurrents,competitors
idées,ideas
trouvé,find
dette,debt
Sud,South
réellement,really
financement,funding
disponibles,available
vieux,old
lance,spear
marge,margin
dirigeants,leaders
avis,notice
changer,to change
conséquence,result
sociales,social
supérieure,superior
Certes,Certainly
faisant,doing
ordinateur,computer
partenaire,partner
warrant,warrant
fabrication,manufacturing
redressement,turnaround
suffisamment,enough
délégué,delegate
pourront,will be able
poursuit,continues
chemin,path
emplois,jobs
l'environnement,the environment
réalise,accomplished
FRF,FRF
évolution,evolution
Cour,Court
automobile,automotive
Premier,First
ancien,ancient
note,note
parties,parts
pension,pension
professionnel,professional
assure,ensures
garder,keep
Rien,Nothing
Actuellement,Currently
DE,OF
S'il,If he
l'administration,administration
Guy,guy
est-il,is it
IBM,IBM
climat,climate
d'acheter,to buy
SICAV,SICAV
département,department
sept,seven
partout,everywhere
immobilier,real estate
lancement,launch
rating,rating
réussi,succeeded
feu,fire
expérience,experience
Anvers,Antwerp
anciens,old
graphique,chart
Fortis,Fortis
faveur,favor
retrouver,to regain
droite,LAW
responsabilité,responsibility
commande,order
Kredietbank,Kredietbank
d'argent,silver
direct,direct
l'inflation,inflation
n'avait,did not have
utiliser,to use
tonnes,tons
l'origine,the origin
connaissance,awareness
acheté,bought
Ici,Here
américaines,american
clairement,clearly
semblent,seem
biais,bias
futur,future
neuf,nine
chance,chance
km,miles
équipe,crew
musée,museum
compagnies,companies
documents,documents
pertes,losses
sortie,exit
m'a,my
seraient,would be
d'autre,else
choisir,choose
tellement,such
industriel,industrial
précompte,precount
d'Europe,from europe
immédiatement,immediately
avantage,advantage
qu'au,than at
constituent,constitute
déchets,waste
sport,sport
van,van
demeure,remains
garde,guard
maisons,houses
Solvay,Solvay
conséquences,consequences
KB,KB
l'offre,the offer
active,active
dépenses,expenses
donnent,give
employés,employees
sites,Sites
élections,elections
détient,holds
n'importe,anything
obligation,obligation
fruits,fruits
véhicule,vehicle
l'égard,respect
Conseil,Advice
investi,invested
mission,assignment
profiter,to profit from
visite,visit
comprendre,to understand
professionnelle,professional
affirme,affirms
l'intérieur,inside
Wall,Wall
privée,private
rares,rare
succession,succession
liberté,freedom
rentabilité,profitability
suivant,following
efficace,effective
assurer,ensure
images,pictures
agences,agencies
impossible,impossible
m,m
John,John
enfant,child
fournisseurs,suppliers
photo,photo
salaires,wages
Avant,Before
compter,count
l'Est,ballast
disposition,arrangement
formes,forms
bénéficiaires,beneficiaries
lesquels,which
maintenir,maintain
précisément,precisely
couple,couple
enregistré,checked in
recul,retreat
l'opposé,the opposite
larmes,tears
lingerie,lingerie
longévité,longevity
lorsqu'elles,when they
manches,sleeves
manne,manna
mette,put
muni,equipped
navires,ships
pharmacien,pharmacist
potentielle,potential
procurent,provide
protégée,protected
préoccupe,concerned
rigoureuse,rigorous
soyez,be
strangle,strap
tentant,tempting
transmet,transmits
trouvée,found
variant,varying
volés,stolen
Ariane,Ariadne
BREF,BRIEF
Bart,bart
Bruxelles-,Brussels
Cola,Cola
Capitale,Capital
de,of
